DID,Date,BW_REQUESTED
235038808,2024-10-12 09:00:00,595.854
235010468,2024-10-12 09:00:00,327.181
235038367,2024-10-12 09:00:00,1752.3
235010468,2024-10-12 09:05:00,12.7887
235038589,2024-10-12 09:05:00,1434.7
235038808,2024-10-12 09:05:00,4535.15
235009876,2024-10-12 09:05:00,9425.0
235041021,2024-10-12 09:05:00,10544.7
235038878,2024-10-12 09:05:00,1687.23
235010148,2024-10-12 09:05:00,100.884
235039630,2024-10-12 09:05:00,0.019375
235054776,2024-10-12 09:05:00,1511.02
235038367,2024-10-12 09:05:00,738.442
235010468,2024-10-12 09:10:00,17.0741
235038808,2024-10-12 09:10:00,311.843
235009876,2024-10-12 09:10:00,1488.52
235038589,2024-10-12 09:10:00,980.011
235041021,2024-10-12 09:10:00,1603.54
235038367,2024-10-12 09:10:00,79.6882
235010148,2024-10-12 09:10:00,1303.29
235039630,2024-10-12 09:10:00,0.015
235054776,2024-10-12 09:10:00,1069.6
235038878,2024-10-12 09:10:00,731.044
235041021,2024-10-12 09:15:00,11439.8
235038808,2024-10-12 09:15:00,384.078
235009876,2024-10-12 09:15:00,5210.53
235038589,2024-10-12 09:15:00,17.7805
235010468,2024-10-12 09:15:00,5.46969
235038367,2024-10-12 09:15:00,292.678
235010148,2024-10-12 09:15:00,0.225052
235039630,2024-10-12 09:15:00,0.01625
235054776,2024-10-12 09:15:00,4525.73
235038878,2024-10-12 09:15:00,888.441
235010468,2024-10-12 09:20:00,14.1152
235038808,2024-10-12 09:20:00,89.0904
235009876,2024-10-12 09:20:00,7441.97
235038589,2024-10-12 09:20:00,1036.8
235041021,2024-10-12 09:20:00,24694.2
235038878,2024-10-12 09:20:00,2035.17
235010148,2024-10-12 09:20:00,0.119271
235039630,2024-10-12 09:20:00,0.019375
235054776,2024-10-12 09:20:00,20551.7
235038367,2024-10-12 09:20:00,4532.01
235038589,2024-10-12 09:25:00,58.8946
235010468,2024-10-12 09:25:00,8.20638
235038808,2024-10-12 09:25:00,300.48
235009876,2024-10-12 09:25:00,3225.57
235041021,2024-10-12 09:25:00,7759.85
235038367,2024-10-12 09:25:00,68.8703
235038878,2024-10-12 09:25:00,1298.59
235010148,2024-10-12 09:25:00,0.0848177
235039630,2024-10-12 09:25:00,0.011875
235054776,2024-10-12 09:25:00,2335.24
235010468,2024-10-12 09:30:00,10.2337
235038808,2024-10-12 09:30:00,236.714
235009876,2024-10-12 09:30:00,5233.14
235038589,2024-10-12 09:30:00,148.651
235041021,2024-10-12 09:30:00,8156.8
235038367,2024-10-12 09:30:00,459.247
235038878,2024-10-12 09:30:00,2943.38
235010148,2024-10-12 09:30:00,0.116927
235039630,2024-10-12 09:30:00,0.0175
235054776,2024-10-12 09:30:00,12089.3
235038808,2024-10-12 09:35:00,122.527
235009876,2024-10-12 09:35:00,3223.47
235038589,2024-10-12 09:35:00,31.0413
235041021,2024-10-12 09:35:00,9763.08
235010468,2024-10-12 09:35:00,6.71003
235038878,2024-10-12 09:35:00,2949.83
235010148,2024-10-12 09:35:00,0.0827604
235039630,2024-10-12 09:35:00,0.01875
235054776,2024-10-12 09:35:00,7054.78
235038367,2024-10-12 09:35:00,2908.77
235010468,2024-10-12 09:40:00,7.53156
235038808,2024-10-12 09:40:00,126.11
235009876,2024-10-12 09:40:00,4693.28
235038589,2024-10-12 09:40:00,14.7968
235041021,2024-10-12 09:40:00,3930.07
235038367,2024-10-12 09:40:00,88.4467
235038878,2024-10-12 09:40:00,2005.89
235010148,2024-10-12 09:40:00,0.0904167
235039630,2024-10-12 09:40:00,0.0175
235054776,2024-10-12 09:40:00,10711.4
235038808,2024-10-12 09:45:00,588.849
235009876,2024-10-12 09:45:00,1663.72
235038589,2024-10-12 09:45:00,174.119
235041021,2024-10-12 09:45:00,8187.4
235010468,2024-10-12 09:45:00,9.83562
235038878,2024-10-12 09:45:00,32.5221
235010148,2024-10-12 09:45:00,0.136875
235039630,2024-10-12 09:45:00,0.01375
235054776,2024-10-12 09:45:00,9626.63
